1465,536,1681,543,1680,597,1464,590,text
1480,597,1668,606,1667,620,1479,611,text
1041,532,1210,543,1208,573,1039,562,text
1036,562,1215,573,1214,591,1035,580,text
1213,525,1287,528,1286,593,1212,590,text
1287,563,1327,566,1326,586,1286,583,text
1252,576,1308,586,1304,604,1248,594,text
774,526,981,517,984,571,777,580,text
784,582,964,575,965,592,785,599,text
392,569,505,562,508,597,395,604,text
394,609,502,598,504,614,396,625,text
502,546,586,538,592,601,508,609,text
577,573,598,576,595,607,574,604,text
531,591,573,595,570,620,528,616,text
