4,913,56,912,57,935,5,936,text
561,929,699,934,698,958,560,953,text
202,676,1657,673,1658,837,203,840,text
41,388,1661,363,1664,585,44,610,text
1314,947,1478,950,1477,978,1313,975,text
1006,1156,1095,1159,1094,1171,1005,1168,text
1015,1070,1098,1073,1097,1096,1014,1093,text
1057,1100,1097,1099,1098,1121,1058,1122,text
1032,1123,1097,1123,1097,1146,1032,1146,text
247,1133,327,1136,326,1173,246,1170,text
113,1035,225,1042,223,1080,111,1073,text
107,1078,230,1090,226,1135,103,1123,text
98,1122,222,1133,219,1170,95,1159,text
