728,500,1131,587,1114,665,711,578,text
1168,464,1524,542,1495,676,1139,598,text
1175,606,1466,668,1460,696,1169,634,text
1200,655,1509,721,1495,785,1186,719,text
1218,736,1496,794,1487,841,1209,783,text
1224,791,1470,839,1463,875,1217,827,text
788,794,935,820,930,849,783,823,text
704,812,1021,871,1014,909,697,850,text
1109,867,1146,870,1144,894,1107,891,text
1114,906,1152,911,1149,930,1111,925,text
1158,869,1377,911,1372,938,1153,896,text
1161,905,1383,946,1378,976,1156,935,text
1456,923,1532,939,1527,960,1451,944,text
1458,950,1594,975,1587,1014,1451,989,text
