435,1033,489,1010,499,1032,445,1055,text
442,1057,489,1040,493,1053,446,1070,text
1074,1170,1116,1165,1119,1188,1077,1193,text
60,968,101,967,102,979,61,980,text
725,1159,872,1131,883,1191,736,1219,text
829,1213,863,1210,866,1245,832,1248,text
599,396,791,449,781,484,589,431,text
604,446,692,466,687,486,599,466,text
608,517,731,541,723,583,600,559,text
608,563,789,600,784,624,603,587,text
613,642,743,662,736,706,606,686,text
614,698,727,711,724,737,611,724,text
1312,767,1393,781,1387,811,1306,797,text
1319,806,1371,817,1367,833,1315,822,text
972,509,1063,533,1055,562,964,538,text
978,547,1087,575,1082,596,973,568,text
